	bwa_cohort_raw	bwa_hwe_raw	bwa_nohwe_raw	ngm_cohort_raw	ngm_hwe_raw	ngm_nohwe_raw	bwa_cohort_norm	bwa_hwe_norm	bwa_nohwe_norm	ngm_cohort_norm	ngm_hwe_norm	ngm_nohwe_norm
bwa_cohort_raw	1.0	0.978506870527747	0.9241228777442466	0.7616049257588811	0.7608285872687869	0.7550110433524881	0.8361260975932737	0.8220260665362978	0.7849713285537065	0.6668941533586952	0.6665443150571342	0.6620568157534742
bwa_hwe_raw	0.978506870527747	1.0	0.9341863229601391	0.7555513387303111	0.7600484897413734	0.7548261656241793	0.8218084657437127	0.8346619730390232	0.7902830646830523	0.6624713991939944	0.6649460041452762	0.660789116860942
bwa_nohwe_raw	0.9241228777442466	0.9341863229601391	1.0	0.7245512761935909	0.7294723409004049	0.7492352445622315	0.7804787872654594	0.7859254719265807	0.8270601238297381	0.6364570288148796	0.6392777518248821	0.6521774211890391
ngm_cohort_raw	0.7616049257588811	0.7555513387303111	0.7245512761935909	1.0	0.9726495091851434	0.9063774914526489	0.670850327089177	0.666410690489003	0.642569976946169	0.8440582847130113	0.8254748959726259	0.7789091293777167
ngm_hwe_raw	0.7608285872687869	0.7600484897413734	0.7294723409004049	0.9726495091851434	1.0	0.9176700958004215	0.6703914981883502	0.6687984366764183	0.6453412263368361	0.8251288183962753	0.8425099505487879	0.785346312996013
ngm_nohwe_raw	0.7550110433524881	0.7548261656241793	0.7492352445622315	0.9063774914526489	0.9176700958004215	1.0	0.6622628203653721	0.6610225637708155	0.6548533071590514	0.7733831757310327	0.7800560816488382	0.8329218106995885
bwa_cohort_norm	0.8361260975932737	0.8218084657437127	0.7804787872654594	0.670850327089177	0.6703914981883502	0.6622628203653721	1.0	0.9820711375101999	0.9355757024975404	0.7837896397058868	0.7837343491290042	0.7799113470112119
bwa_hwe_norm	0.8220260665362978	0.8346619730390232	0.7859254719265807	0.666410690489003	0.6687984366764183	0.6610225637708155	0.9820711375101999	1.0	0.9439442629573143	0.77869814954447	0.7827616271589705	0.7794400522845192
bwa_nohwe_norm	0.7849713285537065	0.7902830646830523	0.8270601238297381	0.642569976946169	0.6453412263368361	0.6548533071590514	0.9355757024975404	0.9439442629573143	1.0	0.7502900058805153	0.7548112798562787	0.7735420246166479
ngm_cohort_norm	0.6668941533586952	0.6624713991939944	0.6364570288148796	0.8440582847130113	0.8251288183962753	0.7733831757310327	0.7837896397058868	0.77869814954447	0.7502900058805153	1.0	0.9767380729647307	0.9194755266033587
ngm_hwe_norm	0.6665443150571342	0.6649460041452762	0.6392777518248821	0.8254748959726259	0.8425099505487879	0.7800560816488382	0.7837343491290042	0.7827616271589705	0.7548112798562787	0.9767380729647307	1.0	0.9291446908265384
ngm_nohwe_norm	0.6620568157534742	0.660789116860942	0.6521774211890391	0.7789091293777167	0.785346312996013	0.8329218106995885	0.7799113470112119	0.7794400522845192	0.7735420246166479	0.9194755266033587	0.9291446908265384	1.0
