method	consequence	count
bwa_cohort	intergenic_or_no_overlap	606997
bwa_cohort	missense	5138
bwa_cohort	linked_to_prior	218
bwa_cohort	intron	922977
bwa_cohort	splice_region	13430
bwa_cohort	synonymous	22779
bwa_cohort	stop_gained	4
bwa_cohort	splice_acceptor	42
bwa_cohort	synonymous&stop_retained	15
bwa_cohort	splice_donor	76
bwa_cohort	non_coding	82
bwa_cohort	stop_retained	2
bwa_cohort	start_lost	7
bwa_cohort	stop_lost	6
bwa_hwe	intergenic_or_no_overlap	613046
bwa_hwe	missense	5223
bwa_hwe	linked_to_prior	228
bwa_hwe	intron	932203
bwa_hwe	splice_region	13515
bwa_hwe	synonymous	23153
bwa_hwe	stop_gained	4
bwa_hwe	splice_acceptor	42
bwa_hwe	synonymous&stop_retained	15
bwa_hwe	splice_donor	77
bwa_hwe	non_coding	84
bwa_hwe	stop_retained	2
bwa_hwe	start_lost	7
bwa_hwe	stop_lost	6
bwa_nohwe	intergenic_or_no_overlap	646719
bwa_nohwe	missense	5946
bwa_nohwe	linked_to_prior	263
bwa_nohwe	intron	982043
bwa_nohwe	splice_region	13943
bwa_nohwe	synonymous	25091
bwa_nohwe	stop_gained	13
bwa_nohwe	splice_acceptor	55
bwa_nohwe	splice_donor	87
bwa_nohwe	synonymous&stop_retained	15
bwa_nohwe	stop_retained	3
bwa_nohwe	non_coding	92
bwa_nohwe	start_lost	10
bwa_nohwe	stop_lost	8
ngm_cohort	intergenic_or_no_overlap	546230
ngm_cohort	missense	5080
ngm_cohort	linked_to_prior	225
ngm_cohort	intron	833040
ngm_cohort	splice_region	12903
ngm_cohort	synonymous	22614
ngm_cohort	stop_gained	6
ngm_cohort	splice_donor	65
ngm_cohort	splice_acceptor	45
ngm_cohort	synonymous&stop_retained	15
ngm_cohort	non_coding	43
ngm_cohort	stop_retained	2
ngm_cohort	start_lost	7
ngm_cohort	stop_lost	5
ngm_hwe	intergenic_or_no_overlap	552492
ngm_hwe	missense	5214
ngm_hwe	linked_to_prior	235
ngm_hwe	intron	842806
ngm_hwe	splice_region	12975
ngm_hwe	synonymous	23011
ngm_hwe	stop_gained	6
ngm_hwe	splice_donor	66
ngm_hwe	splice_acceptor	45
ngm_hwe	synonymous&stop_retained	15
ngm_hwe	non_coding	44
ngm_hwe	stop_retained	2
ngm_hwe	start_lost	7
ngm_hwe	stop_lost	5
ngm_nohwe	intergenic_or_no_overlap	586036
ngm_nohwe	missense	6108
ngm_nohwe	linked_to_prior	302
ngm_nohwe	intron	896614
ngm_nohwe	splice_region	13656
ngm_nohwe	synonymous	25617
ngm_nohwe	stop_gained	7
ngm_nohwe	splice_donor	86
ngm_nohwe	splice_acceptor	47
ngm_nohwe	synonymous&stop_retained	15
ngm_nohwe	stop_retained	3
ngm_nohwe	non_coding	51
ngm_nohwe	start_lost	11
ngm_nohwe	stop_lost	4
